duration,protocol,service,flag,src_bytes,dst_bytes,land,wrong_frag,urgent,count,serror_rate,dst_host_same_srv_rate,label
30,ICMP,echo,SF,0,0,0,0,2,4,0.51,0.79,probe
20,UDP,eco_i,SF,1110,705,0,3,1,5,0.28,0.65,normal
15,UDP,dns,SF,1194,1157,0,1,2,35,0.33,0.8,normal
20,ICMP,echo,SF,0,0,0,1,3,20,0.73,0.82,probe
15,ICMP,echo,SF,0,0,0,0,0,1,0.05,0.66,probe
10,UDP,dns,SF,1759,831,0,1,2,11,0.44,0.7,normal
0,TCP,http,SF,1397,1073,0,2,2,6,0.42,0.37,normal
5,UDP,dns,SF,906,1314,0,3,1,1,0.63,0.32,normal
0,TCP,http,SF,1195,75,0,3,0,5,0.16,0.8,normal
1,UDP,dns,SF,412,35,0,0,0,17,0.45,0.78,normal
5,UDP,ntp_u,SF,1031,1183,0,0,0,6,0.56,0.68,normal
5,ICMP,echo,SF,0,0,0,1,3,0,0.2,0.66,probe
120,TCP,http,SF,750,1530,0,3,0,41,0.46,0.56,normal
20,TCP,http,SF,1259,766,0,0,1,1,0.28,0.68,normal
15,TCP,http,SF,919,1386,0,0,0,2,0.16,0.91,normal
0,UDP,dns,SF,994,1300,0,2,1,26,0.23,0.64,normal
20,UDP,ntp_u,SF,628,1749,0,1,2,5,0.57,0.72,normal
30,TCP,smtp,SF,1369,1735,0,0,3,23,0.46,0.74,normal
10,TCP,smtp,SF,580,2599,0,0,2,9,0.18,0.67,normal
0,TCP,http,SF,505,2764,0,3,2,38,0.12,0.42,normal
5,TCP,http,SF,745,541,0,1,1,9,0.24,0.44,normal
0,UDP,dns,SF,1189,949,0,1,3,23,0.1,0.82,normal
0,TCP,http,SF,954,1015,0,2,3,41,0.24,0.81,normal
10,ICMP,echo,SF,0,0,0,3,3,16,0.31,0.87,probe
5,TCP,ftp,SF,814,1582,0,3,3,14,0.89,0.67,r2l
0,ICMP,echo,SF,0,0,0,3,2,5,0.3,0.93,probe
1,TCP,http,SF,319,1787,0,0,0,6,0.16,0.83,normal
15,UDP,dns,SF,573,1519,0,0,2,5,0.3,0.8,normal
15,TCP,telnet,REJ,1553,1179,0,1,3,1,0.56,0.34,dos
60,TCP,http,SF,0,1656,0,3,1,13,0.13,0.44,normal
60,UDP,dns,SF,1217,630,0,0,3,20,0.24,0.75,normal
10,UDP,eco_i,SF,957,683,0,3,3,0,0.7,0.69,normal
10,UDP,ntp_u,SF,1235,790,0,3,2,14,0.45,0.96,normal
5,TCP,http,SF,678,1383,0,2,3,36,0.26,0.93,normal
20,ICMP,echo,SF,0,0,0,0,3,3,0.08,0.88,probe
0,UDP,eco_i,SF,1076,1752,0,0,1,7,0.29,0.87,normal
15,ICMP,echo,SF,0,0,0,2,2,43,0.11,0.46,probe
20,UDP,eco_i,SF,1215,896,0,0,1,51,0.51,0.9,normal
5,ICMP,echo,SF,0,0,0,1,1,7,0.29,0.89,probe
0,TCP,http,SF,1327,2096,0,3,1,124,0.14,0.77,normal
10,UDP,dns,SF,298,1651,0,3,3,4,0.41,0.87,normal
20,TCP,ftp,SF,1137,1790,0,0,2,0,0.05,0.48,r2l
30,TCP,http,SF,268,1349,0,0,3,99,0.27,0.94,normal
0,UDP,ntp_u,SF,844,994,0,1,2,11,0.35,0.72,normal
2,TCP,http,SF,1061,1454,0,3,3,10,0.21,0.92,normal
10,TCP,telnet,SF,1445,1430,0,1,3,1,0.54,0.87,r2l
0,TCP,ftp,SF,1283,1216,0,3,0,12,0.24,0.87,r2l
1,UDP,ntp_u,SF,862,1054,0,0,3,2,0.08,0.47,normal
10,TCP,ftp,REJ,0,1542,0,0,0,101,0.4,0.53,dos
0,UDP,ntp_u,SF,1644,531,0,1,2,18,0.39,0.41,normal
0,TCP,http,SF,1510,2338,0,2,3,15,0.68,0.55,normal
120,UDP,ntp_u,SF,1467,1243,0,3,3,2,0.19,0.67,normal
15,TCP,ftp,SF,1197,1913,0,0,2,84,0.25,0.9,r2l
60,TCP,http,SF,818,979,0,3,2,3,0.24,0.67,normal
10,TCP,ftp,SF,1645,639,0,1,2,10,0.58,0.42,r2l
5,TCP,smtp,SF,447,1427,0,0,1,8,0.04,0.55,normal
0,TCP,http,SF,1404,1441,0,3,3,23,0.61,0.72,normal
5,TCP,smtp,SF,935,1385,0,1,0,34,0.28,0.91,normal
5,TCP,smtp,SF,820,1541,0,0,3,12,0.12,0.73,normal
60,TCP,smtp,REJ,1137,1573,0,1,0,10,0.64,0.9,dos
20,TCP,smtp,SF,1496,2228,0,1,3,20,0.2,0.58,normal
20,TCP,http,SF,828,1461,0,1,3,28,0.44,0.41,normal
1,TCP,smtp,REJ,1140,1647,0,2,2,15,0.3,0.77,dos
20,ICMP,echo,SF,0,0,0,0,2,5,0.47,0.77,probe
10,ICMP,echo,SF,0,0,0,2,0,10,0.14,0.85,probe
5,TCP,http,REJ,803,3109,0,2,0,6,0.09,0.95,dos
120,TCP,smtp,SF,1562,2002,0,0,3,1,0.42,0.83,normal
1,UDP,dns,SF,279,906,0,2,3,8,0.31,0.81,normal
0,TCP,http,SF,1658,1933,0,3,2,1,0.19,0.7,normal
60,ICMP,echo,SF,0,0,0,3,3,33,0.3,0.55,probe
20,ICMP,echo,SF,0,0,0,0,3,7,0.26,0.87,probe
0,UDP,dns,SF,277,948,0,0,0,2,0.29,0.95,normal
120,TCP,smtp,REJ,792,1825,0,0,2,57,0.39,0.44,dos
20,TCP,http,REJ,1048,2052,0,1,3,8,0.45,0.37,dos
0,ICMP,echo,SF,0,0,0,0,0,33,0.39,0.77,probe
0,TCP,http,SF,1051,2071,0,0,0,64,0.18,0.86,normal
5,TCP,ftp,SF,1047,2332,0,1,2,41,0.04,0.89,r2l
15,TCP,ftp,SF,447,2222,0,3,0,7,0.38,0.81,r2l
20,TCP,telnet,SF,1009,1430,0,3,3,17,0.45,0.71,r2l
5,TCP,http,SF,319,1828,0,1,2,7,0.23,0.52,normal
120,TCP,http,SF,1350,1363,0,3,3,36,0.26,0.81,normal
0,UDP,eco_i,SF,1690,1035,0,3,3,11,0.25,0.82,normal
10,TCP,ftp,SF,773,396,0,0,0,8,0.08,0.87,r2l
15,TCP,http,SF,1372,1749,0,3,1,10,0.49,0.93,normal
0,UDP,dns,SF,519,1215,0,0,0,0,0.14,0.62,normal
0,UDP,ntp_u,SF,1338,340,0,0,2,20,0.28,0.67,normal
10,TCP,http,SF,100,1566,0,2,3,2,0.1,0.48,normal
15,TCP,http,REJ,0,1615,0,3,2,33,0.55,0.79,dos
0,TCP,http,S1,1674,1391,0,3,0,31,0.53,0.89,normal
15,TCP,http,S1,1141,1620,0,2,3,2,0.33,0.59,normal
20,ICMP,echo,SF,0,0,0,2,1,3,0.04,0.79,probe
10,TCP,http,SF,2138,1600,0,0,1,2,0.29,0.6,normal
2,UDP,ntp_u,SF,1591,1055,0,0,3,39,0.53,0.69,normal
5,ICMP,echo,SF,0,0,0,2,0,21,0.16,0.72,probe
0,TCP,http,SF,989,1913,0,3,0,1,0.13,0.61,normal
1,TCP,http,REJ,1823,1386,0,0,1,41,0.53,0.85,dos
120,ICMP,echo,SF,0,0,0,0,3,32,0.09,0.42,probe
5,UDP,dns,SF,1072,221,0,1,2,46,0.38,0.76,normal
15,TCP,smtp,SF,603,2109,0,0,2,16,0.14,0.75,normal
15,TCP,smtp,SF,1027,2097,0,3,1,32,0.28,0.85,normal
20,TCP,http,SF,878,1251,0,1,2,5,0.33,0.87,normal
10,TCP,ftp,REJ,0,981,0,3,2,35,0.3,0.77,dos
0,UDP,ntp_u,SF,1261,356,0,0,0,21,0.84,0.95,normal
20,UDP,eco_i,SF,1101,749,0,1,1,5,0.41,0.77,normal
120,TCP,smtp,REJ,1008,993,0,2,0,11,0.08,0.66,dos
120,TCP,http,S1,1712,593,0,0,0,11,0.34,0.69,normal
20,ICMP,echo,SF,0,0,0,1,1,25,0.44,0.84,probe
1,TCP,http,SF,1525,619,0,3,0,11,0.26,0.81,normal
0,UDP,dns,SF,1149,600,0,3,0,3,0.22,0.96,normal
20,UDP,ntp_u,SF,980,1572,0,3,0,6,0.63,0.55,normal
1,UDP,eco_i,SF,862,1022,0,1,1,36,0.17,0.83,normal
15,ICMP,echo,SF,0,0,0,0,0,4,0.7,0.84,probe
0,UDP,eco_i,SF,354,1060,0,3,0,8,0.45,0.81,normal
30,UDP,dns,SF,823,526,0,0,0,43,0.25,0.57,normal
60,TCP,http,REJ,755,1111,0,3,1,29,0.36,0.47,dos
20,UDP,dns,SF,216,1043,0,2,3,23,0.3,0.85,normal
30,UDP,ntp_u,SF,1129,459,0,0,2,1,0.18,0.67,normal
1,TCP,http,SF,295,1937,0,3,0,10,0.08,0.75,normal
0,UDP,dns,SF,117,974,0,1,2,2,0.33,0.67,normal
60,UDP,eco_i,SF,649,841,0,1,0,4,0.68,0.92,normal
60,ICMP,echo,SF,0,0,0,3,0,30,0.22,0.93,probe
10,TCP,http,SF,1705,1875,0,1,3,13,0.35,0.55,normal
30,TCP,ftp,SF,1070,1469,0,1,2,4,0.53,0.78,r2l
0,TCP,ftp,SF,510,1895,0,2,0,49,0.13,0.5,r2l
20,TCP,ftp,S1,0,1244,0,3,2,21,0.28,0.86,r2l
5,TCP,smtp,SF,1321,1628,0,1,0,3,0.17,0.65,normal
0,UDP,ntp_u,SF,1160,1442,0,3,0,17,0.19,0.89,normal
1,TCP,http,SF,421,0,0,0,1,8,0.27,0.79,normal
60,TCP,ftp,SF,1088,1755,0,2,0,19,0.39,0.61,r2l
1,TCP,smtp,SF,956,1732,0,2,2,4,0.06,0.91,normal
15,TCP,telnet,SF,1316,832,0,1,1,26,0.51,0.59,r2l
15,ICMP,echo,SF,0,0,0,3,3,18,0.36,0.67,probe
5,TCP,http,SF,676,1522,0,1,1,9,0.07,0.31,normal
5,TCP,smtp,REJ,1015,1182,0,0,2,6,0.32,0.38,dos
0,TCP,http,S1,1170,973,0,1,2,7,0.48,0.5,normal
1,TCP,http,SF,1688,1993,0,0,2,17,0.18,0.8,normal
30,TCP,telnet,REJ,597,1090,0,2,2,3,0.22,0.88,dos
1,TCP,http,S1,1114,1958,0,2,1,16,0.35,0.88,normal
10,TCP,ftp,REJ,340,2092,0,0,1,8,0.43,0.66,dos
1,TCP,ftp,REJ,1203,2027,0,0,0,4,0.21,0.58,dos
2,ICMP,echo,SF,0,0,0,2,2,36,0.16,0.75,probe
30,TCP,http,SF,749,1741,0,0,2,24,0.39,0.42,normal
120,UDP,ntp_u,SF,139,600,0,3,1,38,0.14,0.66,normal
120,ICMP,echo,SF,0,0,0,2,3,14,0.21,0.71,probe
15,TCP,telnet,REJ,918,1583,0,2,2,2,0.33,0.75,dos
1,TCP,ftp,SF,861,623,0,0,0,37,0.21,0.68,r2l
60,TCP,smtp,SF,839,1505,0,3,1,3,0.09,0.71,normal
120,TCP,http,REJ,690,917,0,3,2,30,0.58,0.68,dos
5,TCP,ftp,SF,794,1729,0,1,3,16,0.13,0.89,r2l
1,UDP,dns,SF,1566,1283,0,1,3,8,0.45,0.81,normal
20,UDP,ntp_u,SF,298,683,0,2,3,59,0.25,0.69,normal
60,TCP,http,SF,2252,813,0,2,1,5,0.19,0.96,normal
60,TCP,smtp,SF,555,1943,0,1,1,5,0.09,0.63,normal
0,UDP,ntp_u,SF,411,1095,0,1,0,82,0.36,0.95,normal
30,UDP,dns,SF,599,794,0,0,1,43,0.36,0.87,normal
2,TCP,http,SF,667,2237,0,2,2,6,0.44,0.54,normal
1,TCP,telnet,REJ,196,1100,0,2,1,90,0.63,0.82,dos
10,UDP,ntp_u,SF,739,1140,0,0,3,31,0.3,0.76,normal
10,TCP,smtp,REJ,1273,820,0,3,2,4,0.57,0.74,dos
20,TCP,http,SF,1396,1753,0,0,3,3,0.42,0.82,normal
15,UDP,dns,SF,934,617,0,1,2,1,0.25,0.87,normal
15,TCP,telnet,SF,893,1528,0,0,3,6,0.26,0.86,r2l
15,UDP,eco_i,SF,163,1080,0,0,3,7,0.05,0.93,normal
60,TCP,ftp,SF,392,2001,0,3,0,60,0.36,0.55,r2l
120,ICMP,echo,SF,0,0,0,2,2,32,0.25,0.58,probe
15,TCP,http,SF,1582,1229,0,3,2,32,0.09,0.7,normal
15,TCP,http,SF,1116,1439,0,0,0,22,0.3,0.75,normal
20,TCP,http,SF,730,1777,0,3,3,22,0.43,0.67,normal
0,UDP,eco_i,SF,676,1231,0,2,1,28,0.18,0.73,normal
20,TCP,http,S1,408,2007,0,1,0,51,0.02,0.67,normal
15,TCP,telnet,SF,1192,1280,0,2,1,37,0.11,0.46,r2l
0,UDP,dns,SF,570,620,0,0,1,18,0.05,0.95,normal
0,TCP,telnet,REJ,1171,1701,0,2,1,6,0.2,0.61,dos
1,TCP,http,SF,713,2151,0,3,2,26,0.11,0.89,normal
15,TCP,smtp,S1,1197,1892,0,3,2,1,0.32,0.7,normal
5,TCP,ftp,SF,1022,1764,0,3,3,31,0.68,0.96,r2l
15,UDP,eco_i,SF,482,1188,0,0,2,17,0.17,0.79,normal
